Date,Open,High,Low,Close,Volume
2025-03-28,39,41.94,37.46,40,41091100
2025-03-31,38.49,38.49,36,37.08,15194800
2025-04-01,38.5,53.27,37.2,52.57,38327830
2025-04-02,55.91,64.62,51.4,61.36,52666840
2025-04-03,55.39,57.6462,48.26,53.8,27120590
2025-04-04,49.6,51,43.5101,47.82,14469570
2025-04-07,43.885,52,42.16,49.85,11414740
2025-04-08,54.145,54.8,42.36,43.61,13657230
2025-04-09,43.725,49.88,39.1211,48.77,17229730
2025-04-10,46.9,46.9999,41.8443,42.2,9404305
2025-04-11,42.5,44.88,41.02,43.75,5579529
2025-04-14,46.795,46.85,42.4,43.61,4826992
2025-04-15,43.56,44.7399,40.0003,40.78,6841326
2025-04-16,40.165,40.84,38.2641,40.73,7206790
2025-04-17,41.05,41.63,38.35,39.09,4844587
2025-04-21,38.62,38.6388,33.515,35.415,8116221
2025-04-22,36.98,39.61,36,38.51,9589264
2025-04-23,42.075,43.948,40.16,41.62,7651467
2025-04-24,42.55,43.5,38.8,41.77,9376662
2025-04-25,41.95,44.36,40.9,41.54,8765611
2025-04-28,42.01,43.33,39.78,42.02,5194556
2025-04-29,42.205,46.45,41.0101,42.82,10493580
2025-04-30,41,41.5099,39.5,41.3,6100187
2025-05-01,47.025,48.35,44.03,44.32,13001610
2025-05-02,46.939,51.82,45.8,51.57,9199617
2025-05-05,50.429,52.78,49.7,51.01,6432301
2025-05-06,49.36,54.832,49.0608,54.295,9644380
2025-05-07,54.91,54.91,51.4,53.6,5979160
2025-05-08,54.71,55.7,52.77,55,6263988
2025-05-09,55.96,56.82,50.18,51.37,7948875
2025-05-12,54.3,59.44,52.9,58.49,10619010
2025-05-13,57.6,64.87,57.32,63.26,10125910
2025-05-14,66,68.5,64,67.46,25124590
2025-05-15,68.87,72.97,61.33,65.77,36202100
2025-05-16,68.075,84,67.55,80.3,42983960
2025-05-19,76.9,88.9,76.08,86.59,33360500
2025-05-20,89.67,96.3499,83.305,90.24,34969200
2025-05-21,89.46,109.49,89.3,107.39,61681570
2025-05-22,112.14,116.5388,99.51,100.16,61046930
2025-05-23,98,106.79,97.1,102.74,31097560
2025-05-27,109.268,125.02,107.975,123.97,38031970
2025-05-28,123.75,123.75,113,116.15,27833910
2025-05-29,123.5,130.76,105.53,105.55,38642740
2025-05-30,109,111.95,104.9,111.31,23532830
2025-06-02,116.295,123.66,114,120.2,26269140
2025-06-03,125.3,150.88,124.7,150.48,53920710
2025-06-04,155.875,166.63,144.3,163.1,55448740
2025-06-05,156,157.46,132.8,135.05,50952810
2025-06-06,144.93,148.79,138.59,140.16,23229930
2025-06-09,147.8,163.29,144.1367,162.1,29451690
2025-06-10,156.5,158.3,149,154.9,24264350
2025-06-11,160.01,166.03,145.5,149.7,25772810
2025-06-12,153.7,154.8,142.5,148.97,15249050
2025-06-13,143.24,154.4999,142.5,147.19,16515240
2025-06-16,148.6,158.5,143.48,158.5,19757070
2025-06-17,156.98,175.38,155.8,171.93,32381790
2025-06-18,173.33,176.75,165.55,170,19866360
2025-06-20,171.82,187,168.85,183.58,31258710
2025-06-23,183.32,183.53,159,173.68,26820740
2025-06-24,176.37,183.98,171.2301,172.62,18343570
2025-06-25,178.02,180.25,157.9,159.5,17830200
2025-06-26,164.15,165.99,152.8892,158.08,17009600
2025-06-27,160.13,167.88,158.2,159.99,17437620
2025-06-30,163.31,173.349,160.46,163.06,13731850
